140 jobs x 4 capacities x 10 controllers on 10 workers
  [Fluvius_PV_HP_EV 3 | Aktivni | 10 kWh] peak_shaving                     1761.04 EUR  (   1.4 s)
  [Fluvius_PV_HP 2 | Dinamični | 30 kWh] milp_full_period                  104.55 EUR  ( 205.8 s)
[125/140] Fluvius_PV_HP_user_002.csv (40 rows)  (3639s elapsed)
  [Fluvius_PV_HP_EV 2 | Aktivni | 30 kWh] price_rank_daily                 1038.27 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 10 kWh] delayed_pv_charge                1406.58 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 5 kWh] price_threshold                  1429.59 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 10 kWh] self_consumption_peak_shaving    1599.53 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 30 kWh] peak_shaving                     1294.46 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 10 kWh] price_threshold                  1401.23 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 5 kWh] price_rank_daily                 1406.51 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 10 kWh] price_oracle                     1587.93 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 30 kWh] self_consumption_peak_shaving    1050.04 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 10 kWh] price_rank_daily                 1349.41 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 5 kWh] peak_shaving                     1487.82 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 30 kWh] price_oracle                     1060.44 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 5 kWh] no_battery                       1589.04 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 10 kWh] peak_shaving                     1490.72 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 5 kWh] self_consumption_peak_shaving    1426.91 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 5 kWh] self_consumption                 1576.37 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 10 kWh] self_consumption_peak_shaving    1396.36 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 5 kWh] price_oracle                     1429.36 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 5 kWh] fixed_schedule                   1561.09 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 10 kWh] price_oracle                     1387.56 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 5 kWh] delayed_pv_charge                1577.55 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 5 kWh] price_threshold                  1537.22 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 5 kWh] price_rank_daily                 1516.75 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 5 kWh] peak_shaving                     1581.65 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 5 kWh] self_consumption_peak_shaving    1569.76 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 5 kWh] price_oracle                     1528.71 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 20 kWh] milp_full_period                  911.04 EUR  (  35.1 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 30 kWh] no_battery                       1103.79 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 10 kWh] milp_full_period                  652.43 EUR  (  89.5 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 30 kWh] self_consumption                  919.80 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 30 kWh] fixed_schedule                   1055.78 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 20 kWh] no_battery                       1099.94 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 30 kWh] delayed_pv_charge                 921.64 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 20 kWh] self_consumption                  924.54 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 30 kWh] price_threshold                   968.06 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 20 kWh] fixed_schedule                    927.58 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 30 kWh] price_rank_daily                  919.80 EUR  (   1.5 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 20 kWh] delayed_pv_charge                 953.78 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 30 kWh] peak_shaving                     1072.23 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 20 kWh] price_threshold                   940.17 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 30 kWh] self_consumption_peak_shaving     924.95 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 20 kWh] price_rank_daily                  888.84 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 30 kWh] price_oracle                      969.06 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 20 kWh] peak_shaving                     1071.62 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 10 kWh] milp_full_period                 1379.38 EUR  (  29.0 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 20 kWh] self_consumption_peak_shaving     926.43 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 20 kWh] no_battery                       1784.83 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 30 kWh] milp_full_period                  540.19 EUR  (  29.3 s)
[126/140] Fluvius_PV_HP_EV_user_002_aktivni.csv (40 rows)  (3673s elapsed)
  [Fluvius_PV_HP_EV 2 | Dinamični | 20 kWh] price_oracle                      925.36 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 20 kWh] self_consumption                 1548.50 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 5 kWh] milp_full_period                 1397.30 EUR  (  29.5 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 20 kWh] fixed_schedule                   1744.68 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 20 kWh] delayed_pv_charge                1568.48 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 10 kWh] no_battery                       1502.35 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 30 kWh] milp_full_period                  598.80 EUR  (  48.4 s)
[127/140] Fluvius_PV_HP_EV_user_001_redni1t.csv (40 rows)  (3678s elapsed)
  [Fluvius_PV_HP_EV 4 | Aktivni | 5 kWh] no_battery                       1733.15 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 20 kWh] price_threshold                  1528.19 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 10 kWh] self_consumption                 1375.48 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 5 kWh] self_consumption                 1714.04 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 20 kWh] price_rank_daily                 1485.12 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 10 kWh] fixed_schedule                   1475.56 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 5 kWh] fixed_schedule                   1779.03 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 20 kWh] peak_shaving                     1751.18 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 10 kWh] delayed_pv_charge                1379.98 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 5 kWh] delayed_pv_charge                1715.12 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 5 kWh] no_battery                       1555.69 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 20 kWh] self_consumption_peak_shaving    1562.97 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 10 kWh] price_threshold                  1411.29 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 5 kWh] price_threshold                  1604.03 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 5 kWh] self_consumption                 1526.59 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 20 kWh] price_oracle                     1527.17 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 10 kWh] price_rank_daily                 1375.48 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 5 kWh] price_rank_daily                 1605.89 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 5 kWh] fixed_schedule                   1560.91 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 10 kWh] peak_shaving                     1484.61 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 5 kWh] peak_shaving                     1725.91 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 5 kWh] delayed_pv_charge                1527.13 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 10 kWh] self_consumption_peak_shaving    1390.89 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 5 kWh] self_consumption_peak_shaving    1710.08 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 5 kWh] price_threshold                  1537.26 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 10 kWh] price_oracle                     1411.72 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 5 kWh] price_oracle                     1603.87 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 5 kWh] price_rank_daily                 1526.59 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 5 kWh] peak_shaving                     1547.21 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 5 kWh] self_consumption_peak_shaving    1528.13 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 5 kWh] price_oracle                     1537.27 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 20 kWh] milp_full_period                 -125.97 EUR  ( 121.0 s)
  [Fluvius_PV_HP 5 | Dinamični | 30 kWh] no_battery                        510.14 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 30 kWh] self_consumption                  394.63 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 30 kWh] fixed_schedule                    381.66 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 30 kWh] delayed_pv_charge                 401.83 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 30 kWh] price_threshold                   387.71 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 30 kWh] price_rank_daily                  357.12 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 30 kWh] peak_shaving                      494.92 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 30 kWh] self_consumption_peak_shaving     401.59 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 30 kWh] price_oracle                      376.49 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 5 kWh] milp_full_period                 1379.39 EUR  (  58.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 20 kWh] milp_full_period                 1175.78 EUR  (  30.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 30 kWh] milp_full_period                  904.15 EUR  (  45.3 s)
[128/140] Fluvius_PV_HP_EV_user_002_redni1t.csv (40 rows)  (3715s elapsed)
  [Fluvius_PV_HP_EV 4 | Dinamični | 10 kWh] no_battery                       1589.04 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 30 kWh] no_battery                       1784.83 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 10 kWh] self_consumption                 1577.89 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 5 kWh] milp_full_period                 1550.78 EUR  (  28.5 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 30 kWh] self_consumption                 1529.50 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 10 kWh] fixed_schedule                   1539.72 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 30 kWh] fixed_schedule                   1747.10 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 10 kWh] no_battery                       1733.15 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 10 kWh] delayed_pv_charge                1578.65 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 5 | Dinamični | 5 kWh] no_battery                       1569.55 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 30 kWh] delayed_pv_charge                1547.57 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 10 kWh] self_consumption                 1715.04 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 10 kWh] price_threshold                  1503.31 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 5 | Dinamični | 5 kWh] self_consumption                 1448.03 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 10 kWh] milp_full_period                 1364.75 EUR  (  33.6 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 30 kWh] price_threshold                  1482.34 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 10 kWh] fixed_schedule                   1851.27 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 10 kWh] price_rank_daily                 1455.31 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 5 | Dinamični | 5 kWh] fixed_schedule                   1441.11 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 30 kWh] price_rank_daily                 1467.52 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 10 kWh] delayed_pv_charge                1715.76 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 10 kWh] peak_shaving                     1578.83 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 5 | Dinamični | 5 kWh] delayed_pv_charge                1480.76 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 20 kWh] no_battery                       1502.35 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 30 kWh] peak_shaving                     1739.75 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 10 kWh] price_threshold                  1511.56 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 10 kWh] self_consumption_peak_shaving    1571.00 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 20 kWh] self_consumption                 1344.70 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 5 | Dinamični | 5 kWh] price_threshold                  1465.28 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 30 kWh] self_consumption_peak_shaving    1546.11 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 10 kWh] price_rank_daily                 1513.66 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 10 kWh] price_oracle                     1488.65 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 20 kWh] fixed_schedule                   1489.38 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 5 | Dinamični | 5 kWh] price_rank_daily                 1420.78 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 30 kWh] price_oracle                     1480.99 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 10 kWh] peak_shaving                     1722.14 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 20 kWh] delayed_pv_charge                1346.76 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 5 | Dinamični | 5 kWh] peak_shaving                     1550.81 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 5 kWh] milp_full_period                 1519.53 EUR  (  35.6 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 10 kWh] self_consumption_peak_shaving    1712.06 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 20 kWh] price_threshold                  1392.63 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 5 | Dinamični | 5 kWh] self_consumption_peak_shaving    1467.99 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 10 kWh] price_oracle                     1511.34 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 20 kWh] price_rank_daily                 1344.70 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 5 | Dinamični | 5 kWh] price_oracle                     1459.35 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 10 kWh] no_battery                       1555.69 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 20 kWh] peak_shaving                     1479.10 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 10 kWh] self_consumption                 1522.72 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 20 kWh] self_consumption_peak_shaving    1357.41 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 10 kWh] fixed_schedule                   1577.90 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 20 kWh] price_oracle                     1394.04 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 10 kWh] delayed_pv_charge                1522.87 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 10 kWh] milp_full_period                 1096.73 EUR  (  89.5 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 10 kWh] price_threshold                  1534.22 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 10 kWh] price_rank_daily                 1522.72 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 20 kWh] no_battery                       1510.06 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 10 kWh] peak_shaving                     1543.35 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 20 kWh] self_consumption                 1365.77 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 10 kWh] self_consumption_peak_shaving    1521.43 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 20 kWh] fixed_schedule                   1370.11 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 10 kWh] price_oracle                     1534.33 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 20 kWh] delayed_pv_charge                1380.78 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 20 kWh] price_threshold                  1357.94 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 20 kWh] price_rank_daily                 1285.66 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 20 kWh] peak_shaving                     1487.08 EUR  (   1.5 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 20 kWh] self_consumption_peak_shaving    1370.88 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 20 kWh] price_oracle                     1342.15 EUR  (   1.5 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 30 kWh] milp_full_period                  997.31 EUR  (  30.0 s)
[129/140] Fluvius_PV_HP_EV_user_003_aktivni.csv (40 rows)  (3758s elapsed)
  [Fluvius_PV_HP_EV 4 | Aktivni | 10 kWh] milp_full_period                 1433.09 EUR  (  27.5 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 20 kWh] no_battery                       1733.15 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 20 kWh] self_consumption                 1713.66 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 5 | Aktivni | 5 kWh] no_battery                       1924.68 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 20 kWh] fixed_schedule                   1875.33 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 5 | Aktivni | 5 kWh] self_consumption                 1740.12 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 20 kWh] delayed_pv_charge                1714.33 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 5 | Aktivni | 5 kWh] fixed_schedule                   1830.85 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 20 kWh] price_threshold                  1436.26 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 5 | Aktivni | 5 kWh] delayed_pv_charge                1783.44 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 20 kWh] price_rank_daily                 1460.18 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 5 | Aktivni | 5 kWh] price_threshold                  1747.44 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 20 kWh] peak_shaving                     1721.24 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 5 | Aktivni | 5 kWh] price_rank_daily                 1708.72 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 20 kWh] self_consumption_peak_shaving    1712.39 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 5 | Aktivni | 5 kWh] peak_shaving                     1899.42 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Aktivni | 20 kWh] price_oracle                     1436.07 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 5 | Aktivni | 5 kWh] self_consumption_peak_shaving    1781.63 EUR  (   1.5 s)
  [Fluvius_PV_HP_EV 5 | Aktivni | 5 kWh] price_oracle                     1747.29 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 20 kWh] milp_full_period                 1333.54 EUR  (  46.5 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 10 kWh] milp_full_period                 1515.42 EUR  (  39.6 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 30 kWh] no_battery                       1502.35 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 20 kWh] no_battery                       1555.69 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 30 kWh] self_consumption                 1327.46 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 20 kWh] self_consumption                 1520.18 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 30 kWh] fixed_schedule                   1497.10 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 20 kWh] fixed_schedule                   1599.50 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 30 kWh] delayed_pv_charge                1329.29 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 20 kWh] delayed_pv_charge                1520.31 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 30 kWh] price_threshold                  1383.16 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 20 kWh] price_threshold                  1532.55 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 30 kWh] price_rank_daily                 1327.46 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 20 kWh] price_rank_daily                 1520.18 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 30 kWh] peak_shaving                     1471.86 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 20 kWh] peak_shaving                     1542.40 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 30 kWh] self_consumption_peak_shaving    1341.16 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 20 kWh] self_consumption_peak_shaving    1517.56 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 30 kWh] price_oracle                     1383.98 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Redni 1T | 20 kWh] price_oracle                     1532.67 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 10 kWh] milp_full_period                 1229.42 EUR  (  69.3 s)
  [Fluvius_PV_HP_EV 4 | Dinamični | 20 kWh] no_battery                       1589.04 EUR  (   1.4 s)
